2021-01-17 19:58:22.616218 , query target

 index |                           target-disease | overall association
   183 |           ENSG00000197386-Orphanet_79315 |       0.244 
   184 |              ENSG00000197386-EFO_0005815 |       0.243 
   185 |           ENSG00000197386-Orphanet_98892 |       0.243 
   186 |           ENSG00000197386-Orphanet_98889 |       0.242 
   187 |            ENSG00000197386-Orphanet_2798 |       0.242 
   188 |              ENSG00000197386-EFO_0010566 |       0.242 
   189 |           ENSG00000197386-Orphanet_30925 |       0.241 
   190 |            ENSG00000197386-MONDO_0032887 |       0.241 
   191 |           ENSG00000197386-Orphanet_73272 |       0.241 
   192 |              ENSG00000197386-EFO_0003096 |        0.24 
   193 |             ENSG00000197386-Orphanet_550 |        0.24 
   194 |          ENSG00000197386-Orphanet_137625 |        0.24 
   195 |            ENSG00000197386-MONDO_0000904 |        0.24 
   196 |          ENSG00000197386-Orphanet_319519 |        0.24 
   197 |              ENSG00000197386-EFO_0010261 |       0.238 
   198 |           ENSG00000197386-Orphanet_69737 |       0.238 
   199 |              ENSG00000197386-EFO_0000253 |       0.238 
   200 |            ENSG00000197386-Orphanet_1170 |       0.238 
   201 |              ENSG00000197386-EFO_0009144 |       0.237 
   202 |           ENSG00000197386-Orphanet_99027 |       0.235 
   203 |           ENSG00000197386-Orphanet_79137 |       0.234 
   204 |             ENSG00000197386-Orphanet_308 |       0.234 
   205 |          ENSG00000197386-Orphanet_101039 |       0.234 
   206 |              ENSG00000197386-EFO_0004340 |       0.234 
   207 |              ENSG00000197386-Orphanet_22 |       0.232 
   208 |          ENSG00000197386-Orphanet_101046 |       0.232 
   209 |          ENSG00000197386-Orphanet_255210 |       0.232 
   210 |          ENSG00000197386-Orphanet_228418 |       0.232 
   211 |          ENSG00000197386-Orphanet_275872 |       0.231 
   212 |             ENSG00000197386-Orphanet_777 |        0.23 
   213 |           ENSG00000197386-Orphanet_90117 |       0.229 
   214 |            ENSG00000197386-Orphanet_2318 |       0.229 
   215 |            ENSG00000197386-Orphanet_2556 |       0.229 
   216 |              ENSG00000197386-Orphanet_25 |       0.228 
   217 |            ENSG00000197386-Orphanet_3447 |       0.227 
   218 |          ENSG00000197386-Orphanet_313772 |       0.227 
   219 |          ENSG00000197386-Orphanet_369847 |       0.227 
   220 |             ENSG00000197386-Orphanet_452 |       0.226 
   221 |           ENSG00000197386-Orphanet_85110 |       0.226 
   222 |            ENSG00000197386-Orphanet_1941 |       0.225 
   223 |              ENSG00000197386-EFO_1001093 |       0.225 
   224 |           ENSG00000197386-Orphanet_98819 |       0.225 
   225 |          ENSG00000197386-Orphanet_352582 |       0.225 
   226 |           ENSG00000197386-Orphanet_98934 |       0.204 
   227 |              ENSG00000197386-EFO_1001050 |       0.203 
   228 |              ENSG00000197386-EFO_0003758 |       0.201 
   229 |              ENSG00000197386-Orphanet_58 |         0.2 
   230 |           ENSG00000197386-Orphanet_99953 |         0.2 
   231 |           ENSG00000197386-Orphanet_99948 |         0.2 
   232 |           ENSG00000197386-Orphanet_93951 |         0.2 
   233 |           ENSG00000197386-Orphanet_77295 |         0.2 
   234 |             ENSG00000197386-Orphanet_725 |         0.2 
   235 |           ENSG00000197386-Orphanet_71517 |         0.2 
   236 |           ENSG00000197386-Orphanet_71278 |         0.2 
   237 |           ENSG00000197386-Orphanet_71277 |         0.2 
   238 |           ENSG00000197386-Orphanet_64746 |         0.2 
   239 |          ENSG00000197386-Orphanet_404437 |         0.2 
   240 |          ENSG00000197386-Orphanet_401866 |         0.2 
   241 |          ENSG00000197386-Orphanet_397725 |         0.2 
   242 |          ENSG00000197386-Orphanet_391411 |         0.2 
   243 |          ENSG00000197386-Orphanet_369942 |         0.2 
   244 |          ENSG00000197386-Orphanet_369939 |         0.2 
   245 |          ENSG00000197386-Orphanet_363654 |         0.2 
   246 |          ENSG00000197386-Orphanet_363412 |         0.2 
   247 |          ENSG00000197386-Orphanet_353217 |         0.2 
   248 |          ENSG00000197386-Orphanet_329228 |         0.2 
   249 |          ENSG00000197386-Orphanet_314051 |         0.2 
   250 |          ENSG00000197386-Orphanet_300313 |         0.2 
   251 |            ENSG00000197386-Orphanet_2997 |         0.2 
   252 |          ENSG00000197386-Orphanet_294965 |         0.2 
   253 |          ENSG00000197386-Orphanet_228169 |         0.2 
   254 |          ENSG00000197386-Orphanet_217396 |         0.2 
   255 |          ENSG00000197386-Orphanet_199351 |         0.2 
   256 |          ENSG00000197386-Orphanet_163721 |         0.2 
   257 |          ENSG00000197386-Orphanet_139441 |         0.2 
   258 |          ENSG00000197386-Orphanet_137639 |         0.2 
   259 |              ENSG00000197386-Orphanet_13 |         0.2 
   260 |            ENSG00000197386-MONDO_0032681 |         0.2 
   261 |            ENSG00000197386-MONDO_0030910 |         0.2 
   262 |            ENSG00000197386-MONDO_0030033 |         0.2 
   263 |            ENSG00000197386-MONDO_0014813 |         0.2 
   264 |            ENSG00000197386-MONDO_0014665 |         0.2 
   265 |            ENSG00000197386-MONDO_0014632 |         0.2 
   266 |            ENSG00000197386-MONDO_0014611 |         0.2 
   267 |            ENSG00000197386-MONDO_0014512 |         0.2 
   268 |              ENSG00000197386-EFO_0010656 |         0.2 
   269 |              ENSG00000197386-EFO_0010631 |         0.2 
   270 |              ENSG00000197386-EFO_0009034 |         0.2 
